,Ingredient,Pre,Normalization,Freq
1025,Lievito di birra secco senza glutine,lievito di birra secco,lievito di birra secco,364
1026,Farina di tapioca,farina di tapioca,farina,2121
1027,Tortiglioni,tortiglioni,tortiglioni,12
1028,Latte parzialmente scremato,latte parzialmente scremato,latte,2242
1029,Sciroppo di zucchero,sciroppo di zucchero,sciroppo di zucchero,7
1030,Codette bianche,codette bianche,codette,28
1031,Perline di zucchero,perline di zucchero,perline di zucchero,1
1032,Biscotti integrali,biscotti integrali,biscotti,84
1033,Papaya,papaya,papaya,16
1034,Noce di cocco,noce di cocco,noce,45
1035,Filini,filini,filini,1
1036,Datteri,datteri,datteri,33
1037,Mele stark,mele stark,mele,204
1038,Pistacchi tostati,pistacchi tostati,pistacchi tostati,11
1039,Pere Decana,pere decana,pere,111
1040,Confettura di frutti di bosco,confettura di frutti di bosco,confettura,46
1041,Birra analcolica,birra analcolica,birra,103
1042,Tartufo,tartufo,tartufo,18
1043,Champagne,champagne,champagne,16
1044,Riso pilaf,riso pilaf,riso,289
1045,Essenza di vaniglia,essenza di vaniglia,essenza di vaniglia,100
1046,Filetto di vitello,filetto di vitello,filetto di vitello,492
1047,Crema pasticcera,crema pasticcera,crema pasticcera,65
1048,Burro senza lattosio,burro,burro,4606
1049,Tortillas,tortillas,tortillas,20
1050,Biscotti secchi senza glutine,biscotti secchi,biscotti secchi,84
1051,Burro di soia,burro di soia,burro,4606
1052,Formaggio fresco spalmabile senza lattosio,formaggio fresco spalmabile,formaggio fresco spalmabile,134
1053,Patate ratte,patate ratte,patate,1000
1054,Vene cress,vene cress,vene cress,1
1055,Zucca gialla,zucca gialla,zucca gialla,20
1056,Yogurt greco 2% di grassi,yogurt greco,yogurt greco,196
1057,Olive nere infornate,olive nere infornate,olive,72
1058,Mentuccia,mentuccia,mentuccia,533
1059,Bottarga di tonno,bottarga di tonno,bottarga di tonno,50
1060,Cracker,cracker,cracker,3
1061,Farfalline all'uovo,farfalline all'uovo,farfalline all'uovo,35
1062,Zucca napoletana,zucca napoletana,zucca,226
1063,Pasta di arance,pasta di arance,pasta,46
1064,Pasta di mandarini,pasta di mandarini,pasta,29
1065,Pasta di limoni,pasta di limoni,pasta,1394
1066,Farina di grano arso,farina di grano arso,farina,2121
1067,Coregone,coregone,coregone,1
1068,Crema di pistacchi,crema di pistacchi,crema,18
1069,Mele Red Delicious,mele red delicious,mele red delicious,8
1070,Penne di grano saraceno,penne di grano saraceno,penne,104
1071,Polpetti,polpetti,polpetti,6
1072,Pepe in grani,pepe,pepe,5844
1073,Confettura di ribes,confettura di ribes,confettura,46
1074,Sciroppo di agave,sciroppo di agave,sciroppo alla fragola,4
1075,Sardine,sardine,sardine,19
1076,Pepe verde,pepe verde,pepe verde,5844
1077,Timo limonato,timo limonato,timo,874
1078,Mortadella di Bologna,mortadella di bologna,mortadella,84
1079,Petto d'anatra,petto d'anatra,petto d'anatra,27
1080,Biscotti melighe,biscotti melighe,biscotti,84
1081,Passito di Pantelleria,passito di pantelleria,passito,7
1082,Barolo,barolo,barolo,9
1083,Tè verde,tè verde,tè verde,15
1084,Peperoni verdi a cornetto,peperoni verdi,peperoni verdi,612
1085,Pectina,pectina,pectina,2
1086,Vincotto,vincotto,vincotto,7
1087,Santoreggia,santoreggia,santoreggia,4
1088,Gelato al fiordilatte,gelato al fiordilatte,gelato al fiordilatte,11
1089,Melanzane tonde,melanzane tonde,melanzane tonde,25
1090,Roquefort,roquefort,roquefort,17
1091,Sake,sake,sake,11
1092,Ostia,ostia,ostia,12
1093,Mele Fujion,mele fujion,mele,204
1094,Salsa di pomodori messicana,salsa di pomodori messicana,salsa,90
1095,Guacamole,guacamole,guacamole,2
1096,Faraona,faraona,faraona,16
1097,Lingua salmistrata,lingua salmistrata,lingua salmistrata,10
1098,Brodo di pesce,brodo di pesce,brodo di pesce,27
1099,Gelato allo yogurt,gelato allo yogurt,gelato al cioccolato,8
1100,Panna vegetale senza lattosio,panna vegetale,panna,1860
1101,Farro perlato,farro perlato,farro perlato,11
1102,Seppie,seppie,seppie,40
1103,Pasta fresca,pasta fresca,pasta,78
1104,Mini Ruote,mini ruote,ruote,8
1105,Clementine,clementine,clementine,7
1106,Legumi misti,legumi misti,legumi misti,4
1107,Marroni,marroni,marron glacè,20
1108,Ossibuchi di tacchino,ossibuchi di tacchino,ossibuchi,16
1109,Sale delle Hawaii,sale,sale,9693
1110,Riso di semola,riso di semola,riso,289
1111,Biete,biete,biete,64
1112,Fasolari,fasolari,fasolari,11
1113,Sogliola,sogliola,sogliola,30
1114,Marmellata di lamponi,marmellata di lamponi,marmellata di lamponi,7
1115,Cotechino Modena precotto,cotechino modena precotto,cotechino,29
1116,Marmellata di peperoncini,marmellata di peperoncini,marmellata,46
1117,Prosciutto cotto di praga,prosciutto cotto di praga,prosciutto,324
1118,Frutta candita,frutta candita,frutta candita,33
1119,Essenza di mandorla,essenza di mandorla,essenza di senape,11
1120,Farina di riso integrale,farina di riso integrale,farina di riso integrale,103
1121,Spaghetti Rigati,spaghetti rigati,spaghetti,201
1122,Coda di bue,coda di bue,coda di bue,8
1123,Salamella,salamella,salamella,59
1124,Topping al cioccolato,topping al cioccolato,topping al cioccolato,105
1125,Rossese di Dolceacqua,rossese di dolceacqua,rossese di dolceacqua,1
1126,Confettura,confettura,confettura di albicocche,46
1127,Albicocche sciroppate,albicocche sciroppate,albicocche,69
1128,Macarons,macarons,macarons,2
1129,Pasta di mandorle,pasta di mandorle,pasta di mandorle,8
1130,Alchechengi,alchechengi,alchechengi,6
1131,Polenta istantanea,polenta istantanea,polenta,26
1132,Curry thai rosso,curry thai rosso,curry,89
1133,Soppressata,soppressata,soppressata,4
1134,Patate fritte,patate fritte,patate,1000
1135,Lasagne Verdi all'uovo,lasagne verdi all'uovo,lasagne,51
1136,Pancetta fresca,pancetta fresca,pancetta,245
1137,Spaghetti Quadrati,spaghetti quadrati,spaghetti,201
1138,Zucca violina,zucca violina,zucca,226
1139,Tortiglioni Senza Glutine,tortiglioni,tortiglioni,12
1140,Melone cantalupo,melone cantalupo,melone,39
1141,Tortiglioni Integrali,tortiglioni integrali,tortiglioni,12
1142,Insalata trocadero,insalata trocadero,insalata,75
1143,Cioccolato fondente all'85%,cioccolato fondente all'85%,cioccolato,833
1144,Mostarda bolognese,mostarda bolognese,mostarda di frutta,10
1145,Spaghettini Integrali,spaghettini integrali,spaghettini,19
1146,Salsa alle noci,salsa alle noci,salsa,222
1147,Melassa,melassa,melassa,4
1148,Patè di olive nere,patè di olive nere,patè di olive nere,11
1149,Orzo,orzo,orzo,11
1150,Fagioli rossi secchi,fagioli rossi secchi,fagioli,87
1151,Tortilla chips,tortilla chips,tortillas,20
1152,Berberè,berberè,berberè,2
1153,Olio,olio,olio,2191
1154,Canocchie,canocchie,canocchie,14
1155,"Chicchi di farina di legumi (lenticchie rosse, ceci e piselli)",chicchi di farina di legumi,chicchi di caffè,5
1156,Coni per gelato,coni,coniglio,4
1157,Nesquik Squeeze,nesquik squeeze,nesquik,10
1158,Costolette di vitello,costolette di vitello,costolette d'agnello,492
1159,Fusilloni,fusilloni,fusilloni,5
1160,Glassa di aceto balsamico,glassa di aceto balsamico,glassa di aceto balsamico,8
1161,Tilsit,tilsit,tilsit,4
1162,Seitan,seitan,seitan,10
1163,Scorza di pompelmo,scorza di pompelmo,scorza d'arancia,187
1164,Pepe di Caienna,pepe di caienna,pepe di caienna,5844
1165,Pane integrale multi-cereali,pane integrale multicereali,pane,43
1166,Blu di Capra,blu di capra,blu di capra,8
1167,Caglio,caglio,caglio,3
1168,Succo di pompelmo,succo di pompelmo,succo di pompelmo,5
1169,Pasta tandoori,pasta tandoori,pasta,10
1170,Pasta di aglio,pasta di aglio,pasta,2572
1171,Pepe giamaicano,pepe giamaicano,pepe,5844
1172,Arance essicate,arance essicate,arance,358
1173,Cavatelli,cavatelli,cavatelli,6
1174,Pane integrale in cassetta,pane integrale,pane integrale,43
1175,Confettura di frutti rossi,confettura di frutti rossi,confettura,46
1176,Coppa di maiale,coppa di maiale,coppa di maiale,4
1177,Pane rustico,pane rustico,pane rustico,363
1178,Peperoni sott'olio,peperoni sott'olio,peperoni,612
1179,Farina di riso venere,farina di riso venere,farina,103
1180,Grano cotto,grano cotto,grano cotto,9
1181,Lievito in polvere per dolci senza glutine,lievito,lievito,994
1182,Zucchero a velo senza glutine,zucchero,zucchero,4949
1183,Sfilati al pomodoro al forno,sfilati al pomodoro al forno,sfilati al pomodoro al forno,6
1184,Pici,pici,pici,1
1185,Cocco disidratato,cocco disidratato,cocco disidratato,43
1186,Torta al cioccolato,torta al cioccolato,torta al cioccolato,2
1187,Rotella di liquirizia,rotella di liquirizia,rotella di liquirizia,21
1188,Riso integrale,riso integrale,riso,289
1189,Bignè,bignè,bignè,11
1190,Polpa di granchio,polpa di granchio,polpa di pomodoro,10
1191,Tè verde Matcha,tè verde matcha,tè verde matcha,15
1192,Mandorle in polvere,mandorle,mandorle,415
1193,Skyr,skyr,skyr,5
1194,Confettura di mirtilli,confettura di mirtilli,confettura di mirtilli,7
1195,Composta di mirtilli,composta di mirtilli,composta di mirtilli,5
1196,Caciotta romana,caciotta romana,caciotta,15
1197,Birra Guinness,birra guinness,birra,103
1198,Sottofesa di vitello,sottofesa di vitello,sottofesa di vitello,492
1199,Trippa,trippa,trippa,21
1200,Ovetti confettati,ovetti confettati,ovetti di cioccolato al latte,3
1201,Caciottina,caciottina,caciottina,15
1202,Trippa di bovino,trippa di bovino,trippa,21
1203,Stelline Senza Glutine,stelline,stelline,1
1204,Tartufo bianco,tartufo bianco,tartufo bianco,13
1205,Colomba,colomba,colomba,4
1206,Pane lungo per tramezzini,pane lungo,pane,363
1207,Sale affumicato,sale affumicato,sale affumicato,9693
1208,Nero di seppia,nero di seppia,nero di seppia,13
1209,Tortellini,tortellini,tortellini,7
1210,Scarola riccia,scarola riccia,scarola,44
1211,Vin santo,vin santo,vin santo,12
1212,Cranberry,cranberry,cranberries,5
1213,Dashi,dashi,dashi,2
1214,Pecora,pecora,pecorino,519
1215,Fave surgelate,fave surgelate,fave,103
1216,Crostini di pane,crostini di pane,crostini di pane,5
1217,Castelmagno,castelmagno,castelmagno,7
1218,Vino porto,vino porto,vino,27
1219,Preparato per confetture 1:1,preparato,preparato,3
1220,Ciliegie sciroppate,ciliegie sciroppate,ciliegie,3
1221,Sciroppo alla fragola,sciroppo alla fragola,sciroppo alla menta,27
1222,Garganelli all'uovo,garganelli all'uovo,garganelli all'uovo,9
1223,Uva passa sultanina,uva passa sultanina,uva,87
1224,Pak choi,pak choi,pak choi,3
1225,Cavolo riccio (Kale),cavolo riccio,ricciola,44
1226,Pasta kataifi,pasta kataifi,pasta,3
1227,Broccoletti,broccoletti,broccoletti,95
1228,Senape bianca in polvere,senape bianca,senape,236
1229,Salsa cocktail,salsa cocktail,salsa cocktail,3
1230,Riso Bomba,riso bomba,riso,289
1231,Fumetto di crostacei,fumetto di crostacei,fumetto di crostacei,6
1232,Mini Fusilli,mini fusilli,mini penne rigate,16
1233,Rose,rose,rose,8
1234,Farina di mais integrale per polenta istantanea,farina di mais integrale,farina,144
1235,zenzero candito,zenzero candito,zenzero,285
1236,Cialde da cannolo,cialde da cannolo,cialde da cannolo,2
1237,Bitto,bitto,bitto,5
1238,Lievito chimico in polvere,lievito chimico,lievito,994
1239,Patè di olive,patè di olive,patè di olive,11
1240,Olive nere nizzarde,olive nere nizzarde,olive,72
1241,Olive riviera,olive riviera,olive,72
1242,Topping ai frutti di bosco,topping ai frutti di bosco,topping ai frutti di bosco,72
1243,Ricotta di capra,ricotta di capra,ricotta,324
1244,Pimento,pimento,pimenton,272
1245,Cioccolato bianco 35%,cioccolato bianco 35%,cioccolato,160
1246,Amaranto,amaranto,amaranto,6
1247,Farina di amaranto,farina di amaranto,farina,2121
1248,Gocce di cioccolato fondente senza glutine,gocce di cioccolato fondente,gocce di cioccolato fondente,71
1249,Granella di nocciole senza glutine,granella di nocciole,granella di nocciole,102
1250,Yogurt di soia,yogurt di soia,yogurt,129
1251,Farina per pane senza glutine,farina,farina,2121
1252,Lievito di birra fresco senza glutine,lievito di birra fresco,lievito di birra fresco,176
1253,Malto di riso senza glutine,malto di riso,malto,79
1254,Canditi senza glutine,canditi,canditi,33
1255,Farina di teff,farina di teff,farina,2121
1256,Burro di cocco,burro di cocco,burro,4606
1257,Pane ai 3 farri,pane ai 3 farri,pane,363
1258,Pere coscia,pere coscia,pere,111
1259,Nocciole intere,nocciole intere,nocciole intere,164
1260,Carambola,carambola,carambola,3
1261,Aglio orsino,aglio orsino,aglio,2572
1262,Fagioli di spagna,fagioli di spagna,fagioli,87
1263,Orecchiette fresche,orecchiette fresche,orecchiette,18
1264,Pipe Rigate,pipe rigate,pipe rigate,78
1265,Radiatori,radiatori,radiatori,1
1266,Cosce di coniglio,cosce di coniglio,cosce di pollo,65
1267,Frattaglie di maiale,frattaglie di maiale,frattaglie di maiale,202
1268,Ricotta mista,ricotta mista,ricotta,324
1269,Savoiardi senza glutine,savoiardi,savoiardi,82
1270,Cioccolato fondente al 70% senza glutine,cioccolato fondente al 70%,cioccolato fondente al 70%,833
1271,Yogurt greco 0% di grassi,yogurt greco,yogurt greco,196
1272,Chicchi di mais giallo in scatola,chicchi di mais giallo,chicchi di caffè,144
1273,Appenzeller,appenzeller,appenzeller,2
1274,Anatra,anatra,anatra,27
1275,Friarielli,friarielli,friarielli,4
1276,Melissa,melissa,melissa,10
1277,Malto di riso,malto di riso,malto,79
1278,Liquirizia,liquirizia,liquirizia,21
1279,Salsa teriyaki,salsa teriyaki,salsa teriyaki,3
1280,Acqua di rose,acqua di rose,acqua di rose,6
1281,Lasagne ricce,lasagne ricce,lasagne,51
1282,Segatura di faggio,segatura di faggio,segatura di faggio,1
1283,Carbone vegetale,carbone vegetale,carbone vegetale,2
1284,Panini al sesamo,panini al sesamo,panini,78
1285,Ovetti,ovetti,ovetti di quaglia,23
1286,Bigoli,bigoli,bigoli,7
1287,Rombo,rombo,rombo,12
1288,Vongole veraci,vongole veraci,vongole veraci,83
1289,Cannolicchi,cannolicchi,cannolicchi,14
1290,Olive nere in salamoia,olive nere,olive nere,244
1291,Trota,trota,trota salmonata,13
1292,Gelato alla panna,gelato alla panna,gelato al cioccolato,4
1293,Piadine integrali,piadine integrali,piadine,31
1294,Aceto di sidro,aceto di sidro,aceto di sidro,528
1295,Mix di frutta secca/essiccata,mix di frutta secca,mix di cereali,10
1296,Frutti di cappero sott'aceto,frutti di cappero sott'aceto,frutti della passione,366
1297,Grissini,grissini,grissini,8
1298,Biscotti all'avena senza glutine,biscotti all'avena,biscotti,84
1299,Formaggio fresco spalmabile senza glutine,formaggio fresco spalmabile,formaggio fresco spalmabile,134
1300,Gelatina in fogli senza glutine,gelatina,gelatina,429
1301,Biscotti di grano saraceno,biscotti di grano saraceno,biscotti,84
1302,Zucchero di canna a velo,zucchero di canna,zucchero di canna,547
1303,Budino di cioccolato,budino di cioccolato,budino di cioccolato,1
1304,Canditi,canditi,canditi,33
1305,Malto d'orzo,malto d'orzo,malto,79
1306,Sedano bianco,sedano bianco,sedano bianco,796
1307,Fiocchi di latte,fiocchi di latte,fiocchi di avena,31
1308,Cajun,cajun,cajun,2
1309,Fiori di zucchero,fiori di zucchero,fiori di zucca,4949
1310,Insalata riccia,insalata riccia,insalata riccia,17
1311,Pane nero ai cereali,pane nero ai cereali,pane,363
1312,Cialde,cialde,cialde,1
1313,Skuta,skuta,skuta,1
1314,Asparagi selvatici,asparagi selvatici,asparagi,192
1315,Cioccolato fondente al 60-69%,cioccolato fondente al 60%,cioccolato,833
1316,Marshmallow,marshmallow,marshmallow,1
1317,Wurstel di vitello,wurstel di vitello,wurstel,25
1318,Polenta,polenta,polenta,26
1319,Taralli,taralli,tarallini,9
1320,Vermicelli,vermicelli,vermicelli,11
1321,Freselle,freselle,freselle,9
1322,Zucchine gialle,zucchine gialle,zucchine,654
1323,Farina di grano saraceno senza glutine,farina di grano saraceno,farina di grano saraceno,59
1324,Sugo di pomodoro,sugo di pomodoro,sugo di pomodoro,5
1325,Crema spalmabile alle nocciole,crema spalmabile alle nocciole,crema,136
1326,Panna di soia,panna di soia,panna,1860
1327,Vitellone,vitellone,vitellone,492
1328,Anice nero,anice nero,nero di seppia,9
1329,Marmellata di fragole,marmellata di fragole,marmellata di fragole,12
1330,Fecola di patate senza glutine,fecola di patate,fecola di patate,233
1331,Lievito istantaneo per preparazioni salate senza glutine,lievito istantaneo,lievito istantaneo,994
1332,Pompelmi rosa,pompelmi rosa,pompelmi rosa,21
1333,Filetti di cernia,filetti di cernia,filetti di cernia,8
1334,Aroma al rum,aroma al rum,aroma alla mandorla,10
1335,Lupini,lupini,lupini,5
1336,Golden syrup,golden syrup,golden syrup,1
1337,Stracapra,stracapra,stracapra,1
1338,Melanzane perlina,melanzane perlina,melanzane,18
1339,Semi di cumino,semi di cumino,semi di cumino,107
1340,Lampascioni,lampascioni,lampascioni,3
1341,Spaghettini,spaghettini,spaghettini,201
1342,Fagioli,fagioli,fagioli,87
1343,Pane nero,pane nero,pane nero,14
1344,Lumaconi,lumaconi,lumaconi,10
1345,Lepre,lepre,lepre,9
1346,Formaggio latteria,formaggio latteria,formaggio,264
1347,Miele di corbezzolo,miele di corbezzolo,miele,335
1348,Farina di quinoa,farina di quinoa,farina,2121
1349,Albicocche disidratate,albicocche disidratate,albicocche,69
1350,Latte in polvere,latte,latte,2242
1351,Puccia salentina,puccia salentina,puccia salentina,1
1352,Cavallo,cavallo,cavallo,5
1353,Riso Roma,riso roma,riso,289
1354,Cacao amaro in polvere senza lattosio,cacao amaro,cacao amaro,524
1355,Nocciole pralinate,nocciole pralinate,nocciole,164
1356,Mortadella di fegato,mortadella di fegato,mortadella,84
1357,Gambi di cipollotto,gambi di cipollotto,gambi di rabarbaro,296
1358,Cointreau,cointreau,cointreau,10
1359,Tacos,tacos,tacos,2
1360,Frutto della passione,frutto della passione,fruttosio,19
1361,Granella di cioccolato,granella di cioccolato,granella di mandorle,4
1362,Biscotti Oreo®,biscotti oreo,biscotti oreo,29
1363,Biscotti Oreo,biscotti oreo,biscotti oreo,29
1364,Farina di mais fumetto,farina di mais fumetto,farina,144
1365,Mele annurche,mele annurche,mele,204
1366,Distillato,distillato,distillato,2
1367,Il latte condensato Nestlé,latte condensato,latte condensato,97
1368,Cardi,cardi,cardi,19
1369,Crauti precotti,crauti precotti,crauti,10
1370,Dadi,dadi,dadi,18
1371,Cookies al cioccolato,cookies al cioccolato,cookies al cioccolato,29
1372,Olio di riso,olio di riso,olio di riso,14
1373,Fagioli bianchi precotti,fagioli bianchi precotti,fagioli,87
1374,Bananito,bananito,bananito,1
1375,Foglie di vite,foglie di vite,foglie di vite,2
1376,Ricotta affumicata,ricotta affumicata,ricotta affumicata,11
1377,Granchio,granchio,granchio,14
1378,Tè al limone in foglie,tè al limone,tè matcha,9
1379,Olive Ascolane tenere,olive ascolane tenere,olive,72
1380,Tagliatelle di riso,tagliatelle di riso,tagliatelle,37
1381,Pasta di pesce,pasta di pesce,pasta,78
1382,Succo di tamarindo,succo di tamarindo,succo d'ananas,41
1383,Panettoncini,panettoncini,panettoncini,39
1384,Sambuco,sambuco,sambuca,4
1385,Pesche Percoche,pesche percoche,pesche,106
1386,Pesce Persico,pesce persico,pesce,9
1387,Farina di mais bianco,farina di mais bianco,farina,144
1388,Rabarbaro,rabarbaro,rabarbaro,20
1389,Sponsali,sponsali,sponsali,1
1390,Colla di pesce,colla di pesce,colla di pesce,37
1391,Tagliatelle Larghe all'uovo,tagliatelle larghe all'uovo,tagliatelle,37
1392,Pannocchia di mais,pannocchia di mais,pannocchia di mais,7
1393,Ostriche,ostriche,ostriche,13
1394,Asparagi di mare,asparagi di mare,asparagi,192
1395,Angostura,angostura,angostura,6
1396,Pomodori verdi,pomodori verdi,pomodori verdi,7
1397,Pomodori marinda,pomodori marinda,pomodori,634
1398,Pecorino di fossa,pecorino di fossa,pecorino,519
1399,Mix di pepi,mix di pepi,mix di cereali,5844
1400,Zucca candita,zucca candita,zucca,226
1401,Filetto di maiale,filetto di maiale,filetto di maiale,202
1402,Pita,pita,pita,1
1403,Toma,toma,toma,20
1404,Cavolo cinese,cavolo cinese,cavolo,13
1405,Miele di timo,miele di timo,miele,335
1406,Cosce di tacchino,cosce di tacchino,cosce di coniglio,43
1407,Pomodori secchi sottolio,pomodori secchi sottolio,pomodori,141
1408,Monte Veronese,monte veronese,monte veronese,2
1409,Midollo,midollo,midollo,7
1410,Spianatine con pomodorini scarpariello,spianatine con pomodorini scarpariello,spianatine con pomodorini scarpariello,1
1411,Riso soffiato,riso soffiato,riso soffiato,10
1412,Mars,mars,marsala,121
1413,Glutine di frumento,glutine di frumento,glutine di frumento,1
1414,Barbera,barbera,barbera,3
1415,Ombrina,ombrina,ombrina,8
1416,Dolcetto,dolcetto,dolcetto,1
1417,Fegato di vitello,fegato di vitello,fegato di vitello,10
1418,Sardella,sardella,sardella,1
1419,Succo di cranberry,succo di cranberry,succo d'ananas,41
1420,Blue Curaçao,blue curaçao,blue curaçao,4
1421,Gassosa,gassosa,gassosa,2
1422,Pane arabo,pane arabo,pane,363
1423,Guancia di maiale,guancia di maiale,guanciale,54
1424,Essenza di senape,essenza di senape,essenza di vaniglia,6
1425,Farina per polenta taragna,farina,farina,2121
1426,Stinco di maiale,stinco di maiale,stinco di maiale,6
1427,Miso,miso,miso,4
1428,Alga Wakame,alga wakame,alga kombu,31
1429,Tortelloni,tortelloni,tortelloni,1
1430,Nespole,nespole,nespole,3
1431,Acqua tonica,acqua tonica,acqua,1976
1432,Limonata,limonata,limonata,1
1433,Catalogna,catalogna,catalogna,37
1434,Campari,campari,campari,5
1435,Gin,gin,gin,7
1436,Vermouth,vermouth,vermouth,14
1437,Scorfano,scorfano,scorfano,15
1438,Peperoncini piccanti,peperoncini piccanti,peperoncini piccanti,44
1439,Vacherin Mont d'Or,vacherin mont d'or,vacherin mont d'or,1
1440,Wafer,wafer,wafer,6
1441,Cicerchie,cicerchie,cicerchie,4
1442,Chicchi di farina di legumi (lenticchie rosse e ceci),chicchi di farina di legumi,chicchi di caffè,5
1443,Pezzogna,pezzogna,pezzogna,1
1444,Pomodori insalatari,pomodori insalatari,pomodori,634
1445,Borragine,borragine,borragine,9
1446,Wafer alla nocciola,wafer alla nocciola,wafer alla nocciola,6
1447,Farina di enkir,farina di enkir,farina,2121
1448,Rape,rape,rape,38
1449,Mele Stayman,mele stayman,mele,204
1450,Uvetta tipo Malaga,uvetta tipo malaga,uvetta,220
1451,Baileys,baileys,baileys,2
1452,Ovetti di cioccolato fondente,ovetti di cioccolato fondente,ovetti di cioccolato al latte,5
1453,Cialda di ostia,cialda di ostia,cialda di ostia,12
1454,Mezzi paccheri,mezzi paccheri,paccheri,33
1455,Pesce San Pietro,pesce san pietro,pesce,29
1456,Vernaccia,vernaccia,vernaccia,2
1457,Cachaca,cachaca,cachaca,2
1458,Pasta di aglio e zenzero,pasta di aglio e zenzero,pasta,2572
1459,Salsiccia di Bra,salsiccia di bra,salsiccia,225
1460,Nebbiolo,nebbiolo,nebbiolo,1
1461,Tartufi di mare,tartufi di mare,tartufi,18
1462,Formaggio fresco al peperoncino,formaggio fresco al peperoncino,formaggio,38
1463,Pannocchie precotte,pannocchie precotte,pannocchie,7
1464,Gelato alla fragola,gelato alla fragola,gelato al cioccolato,5
1465,Gelato al cioccolato,gelato al cioccolato,gelato al fiordilatte,5
1466,Kumquat,kumquat,kumquat,4
1467,Carta di riso,carta di riso,carta di riso,2
1468,Formaggio di Fossa,formaggio di fossa,formaggio,3
1469,Chevre,chevre,chevre,1
1470,Aperol,aperol,aperol,3
1471,Reblochon,reblochon,reblochon,2
1472,Cuori di carciofo,cuori di carciofo,cuori di carciofo,222
1473,Fromage blanc,fromage blanc,fromage blanc,1
1474,Crauti,crauti,crauti,10
1475,Insalata russa,insalata russa,insalata russa,6
1476,Cacao crudo in polvere,cacao crudo,cacao,524
1477,Animelle di vitello,animelle di vitello,animelle,12
1478,Casizolu,casizolu,casizolu,1
1479,Semi di senape,semi di senape,semi di senape,236
1480,Tête de Moine,tête de moine,tête de moine,1
1481,Funghi pioppini,funghi pioppini,funghi pioppini,6
1482,Branzino affumicato,branzino affumicato,branzino,39
1483,Zucca rossa,zucca rossa,zucca,226
1484,Capellini,capellini,capellini,6
1485,Gnocchetti di patate,gnocchetti di patate,gnocchetti sardi,1
1486,Peperoncini tondi piccanti,peperoncini tondi piccanti,peperoncini,44
1487,Naruto,naruto,naruto,1
1488,Succo di mirtillo rosso,succo di mirtillo rosso,succo d'ananas,41
1489,Pannerone,pannerone,pannerone,1
1490,Pompelmi,pompelmi,pompelmi rosa,20
1491,Soda,soda,soda,5
1492,Langres,langres,langres,1
1493,Boursault,boursault,boursault,1
1494,Pennoni rigati,pennoni rigati,pennoni rigati,104
1495,Mele chantecler,mele chantecler,mele,204
1496,Jack Daniel's Barbecue Sauce,jack daniel's barbecue sauce,jack daniel's barbecue sauce,2
1497,Vov,vov,vov,2
1498,Schiacciate La Bottega di Olivia&Marino,,,
1499,Lorighittas,lorighittas,lorighittas,1
1500,Condimento per sushi,condimento,condimento balsamico,172
1501,Bottarga,bottarga,bottarga,50
1502,Tempeh,tempeh,tempeh,2
1503,Farina di mais e cereali per polenta istantanea,farina di mais e cereali,farina,144
1504,Pepe di Kampot,pepe di kampot,pepe,5844
1505,Mostarda di Cremona,mostarda di cremona,mostarda di frutta,10
1506,Succo del frutto della passione,succo del frutto della passione,succo d'ananas,41
1507,Tubetti,tubetti,tubetti,5
1508,Brigante,brigante,brigante,1
1509,Maccheroncini al pettine,maccheroncini al pettine,maccheroncini,16
1510,Cren o rafano,cren,cren,5
1511,Salsa barbecue,salsa barbecue,salsa,18
1512,Piadine senza strutto,piadine,piadine,31
1513,Scamone di manzo,scamone di manzo,scamone di manzo,492
1514,Caramelle di liquirizia,caramelle di liquirizia,caramelle di zucchero colorate,10
1515,Salsa verde,salsa verde,salsa,18
1516,Salsa rossa (salsa rubra),salsa rossa,salsa,18
1517,Bonarda,bonarda,bonarda,1
1518,Pan carrè,pan carrè,pan brioche,96
1519,Tequila,tequila,tequila,5
1520,Triple sec,triple sec,triple sec,1
1521,Farina di mais integrale,farina di mais integrale,farina,144
1522,Sella di coniglio,sella di coniglio,sella di coniglio,65
1523,Tequila bianca,tequila bianca,tequila,5
1524,Sciroppo di granatina,sciroppo di granatina,sciroppo di granatina,27
