Def,Freq,Freq_Cucchiaio,Freq_GZ,Freq_RR
lingua salmistrata,10,9,1,0
lingue di gatto,2,2,0,0
linguine,56,27,27,2
liquirizia,21,16,5,0
liquore,38,28,3,7
liquore all'anice,8,1,7,0
liquore all'arancia,8,8,0,0
liquore sassolino,6,5,0,1
liquore strega,8,6,0,2
lische di pesce,2,2,0,0
litchi,1,1,0,0
loertis,1,0,0,1
lonza di maiale,60,30,26,4
lonza di vitello,9,9,0,0
lordo di pastinaca,1,1,0,0
lorighittas,1,0,1,0
luccio,1,1,0,0
lucidante,1,1,0,0
luganega,23,7,16,0
lumache,10,1,3,6
lupini,5,4,1,0
macarons,2,1,1,0
maccheroncini,16,14,1,1
maccheroni,25,17,0,8
macedonia,1,1,0,0
macinato,13,10,0,3
macinato di bovino,51,35,0,16
macinato di pollo,5,1,0,4
macinato di suino,21,8,0,13
macis,5,5,0,0
mafaldine,4,4,0,0
magatello,3,3,0,0
maggiorana,288,147,113,28
magret canard,1,1,0,0
magro di vitello,1,0,0,1
maionese,139,103,36,0
mais,31,20,10,1
maizena,68,68,0,0
malloreddus,4,4,0,0
maltagliati,8,7,0,1
malto,79,12,67,0
mammelle di vitello,1,0,0,1
mandaranci,1,1,0,0
mandarinetto,2,2,0,0
mandarini,29,20,9,0
mandorle,415,243,136,36
mandorle pelate,146,67,77,2
mandorle tostate,9,9,0,0
mango,61,35,26,0
maniche di frate,2,2,0,0
manioca,1,1,0,0
maraschino,21,14,6,1
margarina vegetale,10,4,5,1
mariola,1,1,0,0
marmellata,46,36,7,3
marmellata d'albicocche,10,10,0,0
marmellata d'arancia,6,6,0,0
marmellata di albicocche,14,7,1,6
marmellata di arance,28,9,19,0
marmellata di castagne,7,7,0,0
marmellata di fragole,12,11,1,0
marmellata di lamponi,7,6,1,0
marron glacè,20,18,2,0
marsala,121,84,26,11
marshmallow,1,0,1,0
martini dry,5,5,0,0
marzapane,11,1,10,0
mascarpone,213,117,93,3
mascolini,2,1,0,1
massa di cacao,1,1,0,0
matite alimentari,9,0,9,0
mazzancolle,31,11,20,0
melagrana,50,28,18,4
melanzane,295,129,150,16
melanzane lunghe,18,16,1,1
melanzane tonde,25,19,6,0
melassa,4,3,1,0
mele,204,121,74,9
mele cotogne,6,3,2,1
mele golden,47,27,20,0
mele granny smith,43,29,14,0
mele red delicious,8,3,5,0
mele renette,32,22,9,1
melissa,10,5,3,2
melone,39,18,21,0
menta,533,264,255,14
meringhe,28,20,8,0
merlot,1,1,0,0
merluzzo,49,21,25,3
mezze maniche,21,9,12,0
midollo,7,4,1,2
miele,335,173,143,19
miele d'acacia,10,10,0,0
miele di acacia,82,36,46,0
miele di castagno,15,8,7,0
miele millefiori,89,11,78,0
miglio,1,0,1,0
mirin,6,6,0,0
mirtilli,144,77,65,2
mirto,20,14,5,1
miso,4,2,2,0
misto,3,3,0,0
mistrà,2,2,0,0
mocetta,1,1,0,0
mollica di pane,98,84,0,14
mompariglia,2,2,0,0
montasio,25,6,9,10
monte veronese,2,1,1,0
more,68,46,22,0
mortadella,84,41,39,4
moscardini,15,9,6,0
moscato,22,12,9,1
mosciame di tonno,3,2,0,1
mostarda di frutta,10,6,4,0
mosto d'uva,3,1,0,2
mozzarella,264,142,103,19
mozzarella di bufala,43,26,17,0
mozzarella fiordilatte,53,41,12,0
muesli,10,8,2,0
muscari,1,0,0,1
musèt,2,1,0,1
nana,1,1,0,0
naruto,1,0,1,0
nasello,16,9,7,0
nduja,9,3,6,0
nebbiolo,1,0,1,0
negramaro,1,1,0,0
nepitella,2,2,0,0
nero di seppia,13,7,6,0
nespole,3,1,2,0
nesquik,10,0,10,0
nettarine,1,1,0,0
nocciole,164,88,73,3
nocciole tostate,45,43,2,0
noccioline,1,1,0,0
noce moscata,356,18,296,42
noci,222,170,25,27
noci di macadamia,8,8,0,0
noci pecan,24,17,7,0
noodles,14,6,8,0
nutella,136,54,82,0
oca,6,4,0,2
olio,2191,2157,7,27
olio d'oliva,122,64,36,22
olio di arachide,339,121,202,16
olio di cocco,14,6,8,0
olio di girasole,132,32,100,0
olio di mais,27,15,12,0
olio di mandorle,21,21,0,0
olio di riso,14,13,1,0
olio di semi,323,97,222,4
olio di sesamo,23,9,14,0
olio extravergine d'oliva,4337,1376,2450,511
olive,72,51,15,6
olive di gaeta,13,4,8,1
olive nere,244,114,107,23
olive taggiasche,106,64,39,3
olive verdi,119,69,40,10
ombrina,8,4,4,0
orata,23,5,17,1
orecchiette,18,9,9,0
origano,397,156,200,41
oro alimentare,2,1,1,0
ortiche,15,7,8,0
orzo,11,9,2,0
orzo perlato,37,17,13,7
ossa di manzo,7,7,0,0
ossibuchi,16,12,4,0
osso di prosciutto,3,2,0,1
ostia,12,5,5,2
ostriche,13,9,4,0
ovetti confettati,3,2,1,0
ovetti di cioccolato al latte,5,1,4,0
paccheri,33,18,15,0
pagelli,2,2,0,0
paglia e fieno all'uovo,4,0,4,0
pajata,1,0,1,0
pak choi,3,0,3,0
palamita,3,2,1,0
palline colorate,2,0,2,0
palma,2,2,0,0
palombo,6,5,0,1
pan brioche,7,5,2,0
pan di spagna,30,21,7,2
pancarrè,96,66,27,3
pancetta,245,143,67,35
pancetta affumicata,155,57,90,8
pancetta dolce,22,1,20,1
pandoro,22,7,15,0
pane,363,199,149,15
pane carasau,9,8,0,1
pane casereccio,96,50,40,6
pane di altamura,5,5,0,0
pane di segale,20,15,4,1
pane integrale,43,29,13,1
pane nero,14,9,1,4
pane raffermo,106,49,43,14
pane toscano,26,15,6,5
pane tostato,18,17,0,1
paneer,2,2,0,0
panettone,39,25,14,0
pangrattato,834,426,312,96
panini,78,41,29,8
panko,4,0,4,0
panna acida,57,33,24,0
panna fresca,1860,1063,790,7
pannerone,1,0,1,0
pannocchie,7,4,3,0
panpepato,1,1,0,0
papaya,16,11,5,0
pappardelle,17,8,9,0
paprika,272,119,145,8
parmigiano reggiano dop,1291,689,475,127
passata di pomodoro,374,133,219,22
passato di verdure,1,1,0,0
passito,7,5,2,0
pasta,78,60,15,3
pasta all'uovo,32,31,0,1
pasta brisè,60,51,9,0
pasta d'acciughe,9,9,0,0
pasta da pane,25,24,0,1
pasta di mandorle,8,5,3,0
pasta di salame,5,2,3,0
pasta di tartufo,4,4,0,0
pasta di zucchero,26,12,14,0
pasta fillo,44,19,25,0
pasta frolla,77,76,0,1
pasta kataifi,3,0,3,0
pasta sfoglia,239,134,105,0
pastella,2,2,0,0
pastina,3,2,0,1
patate,1000,455,425,120
patate americane,23,3,20,0
patate novelle,27,10,16,1
patate viola,10,4,6,0
patè di olive nere,11,9,2,0
patè di pomodori secchi,2,2,0,0
pavesini,11,2,9,0
pecorino,519,233,212,74
pectina,2,0,2,0
pelle,1,1,0,0
pennarelli alimentari,1,1,0,0
penne,104,49,51,4
penne rigate,16,5,11,0
penne rigate integrali,5,0,5,0
peoci,1,1,0,0
pepe,5844,3149,2309,386
peperoncino,468,300,91,77
peperoncino fresco,213,0,213,0
peperoncino piccante,44,35,9,0
peperoncino secco,43,15,28,0
peperoni,612,316,272,24
peperoni cruschi,3,3,0,0
per la farcia,1,1,0,0
pere,111,84,23,4
pere abate,12,1,11,0
pere kaiser,14,9,5,0
pere williams,20,5,15,0
perfilo,1,0,0,1
perini,1,1,0,0
perline argentate,1,1,0,0
perline d'argento,1,1,0,0
perline di cioccolato,1,1,0,0
perline di zucchero,1,0,1,0
pernici,1,1,0,0
pesce,29,20,5,4
pesce persico,9,5,4,0
pesce san pietro,4,4,0,0
pesce spada,66,26,31,9
pesce spada affumicato,7,2,5,0
pesche,106,69,37,0
pesche nettarine,18,18,0,0
pesche noci,21,7,14,0
pesto,24,22,1,1
pesto alla genovese,8,4,4,0
petali di rosa,1,1,0,0
pezzogna,1,0,1,0
philadelphia,134,40,94,0
piacentino,1,1,0,0
piadine,31,1,30,0
piattoni,2,1,0,1
piccioni,10,10,0,0
pici,1,0,1,0
pimpinella,2,2,0,0
pinoli,392,179,178,35
pinot,1,1,0,0
piovre,1,1,0,0
pirottini,3,3,0,0
piselli,302,166,126,10
pistacchi,193,131,57,5
pistacchi di bronte,8,8,0,0
pistacchi tostati,11,7,4,0
pita,1,0,1,0
pitaya gialla,1,1,0,0
pitaya rosa,1,1,0,0
pizzoccheri,1,0,0,1
platessa,8,0,8,0
polenta,26,20,2,4
polipetti,6,4,1,1
polline,1,1,0,0
polpa di granchio,10,1,3,6
polpa di pomodoro,49,0,30,19
polpo,47,14,30,3
pomodori,634,500,48,86
pomodori cuore di bue,15,5,10,0
pomodori di pachino,35,18,17,0
pomodori pelati,196,82,68,46
pomodori piccadilly,17,4,13,0
pomodori ramati,123,0,123,0
pomodori san marzano,31,21,10,0
pomodori secchi,141,63,75,3
pomodori verdi,7,5,2,0
pomodorini,142,110,20,12
pomodorini ciliegino,288,77,211,0
pomodorini datterini,128,52,76,0
pomodorini gialli,16,4,12,0
pompelmo,20,19,1,0
pompelmo rosa,21,17,4,0
pompia,1,1,0,0
poolish,1,1,0,0
pop corn,1,1,0,0
popone retato,4,4,0,0
porchetta,3,2,1,0
porri,299,138,147,14
porro,1,1,0,0
porto,27,22,5,0
pralinato di nocciole,1,1,0,0
praline al cioccolato,1,1,0,0
preboggion,2,2,0,0
preparato,3,0,3,0
prescinseua,2,1,0,1
prezzemolo,1668,875,560,233
primosale,19,7,11,1
prosciutto,22,12,4,6
prosciutto cotto,324,179,129,16
prosciutto crudo,182,107,52,23
prosecco,11,5,6,0
provatura,2,2,0,0
provola,62,26,34,2
provola affumicata,31,17,14,0
provolone,36,21,15,0
prugne,37,29,8,0
prugne secche,32,25,7,0
puccia salentina,1,0,1,0
puntarelle,7,3,3,1
quaglie,9,9,0,0
quartirolo,6,4,2,0
quinoa,30,19,11,0
rabarbaro,20,16,4,0
radeselo di maiale,1,1,0,0
radiatori,1,0,1,0
radicchio,103,51,47,5
radicchio di treviso,24,24,0,0
rafano,16,16,0,0
ragusano,3,3,0,0
ragù,3,3,0,0
rana pescatrice,17,8,9,0
rane,3,3,0,0
rape,38,33,1,4
ras hanut,1,1,0,0
raspadura,5,0,5,0
ravanelli,52,36,16,0
ravioli,1,1,0,0
razza,4,3,0,1
reblochon,2,0,2,0
reggiano,1,1,0,0
reginette,12,7,5,0
rhum,1,1,0,0
ribes,85,33,50,2
ricci di mare,8,3,5,0
ricciola,7,2,5,0
ricotta,324,267,31,26
ricotta affumicata,11,7,2,2
ricotta di bufala,17,2,13,2
ricotta di pecora,63,25,32,6
ricotta salata,36,7,24,5
ricotta vaccina,258,33,225,0
rigatino,1,1,0,0
rigatino toscano,1,1,0,0
rigatoni,59,37,21,1
riso,289,226,34,29
riso arborio,37,22,14,1
riso basmati,42,19,23,0
riso carnaroli,233,97,134,2
riso soffiato,10,5,5,0
riso venere,17,7,10,0
riso vialone nano,34,15,17,2
risotto,9,5,4,0
roastbeef,2,1,0,1
robiola,98,53,45,0
rocoto,1,0,1,0
rognoncini,3,3,0,0
rombo,12,10,2,0
roquefort,17,11,6,0
rose,8,3,5,0
rosmarino,850,337,455,58
rosolio di cannella,1,1,0,0
rossese di dolceacqua,1,0,1,0
rossetti,2,2,0,0
roveja,1,1,0,0
rucola,133,61,64,8
rum,218,154,49,15
ruote,8,7,1,0
ruta,2,1,0,1
sacchetti da freezer,1,1,0,0
sago perlato,3,3,0,0
sake,11,9,2,0
salada,1,1,0,0
salame,59,37,15,7
salame napoletano,11,4,7,0
salame piccante,8,3,5,0
salatini,1,1,0,0
sale,9693,5316,3669,708
saleorigano,1,0,0,1
salicornia,3,3,0,0
salmone,173,84,89,0
salmone affumicato,121,64,57,0
salnitro,1,1,0,0
salsa,18,14,3,1
salsa cocktail,3,0,3,0
salsa di pomodoro,90,69,1,20
salsa di soia,135,59,76,0
salsa piccante,4,3,0,1
salsa rubra,3,3,0,0
salsa teriyaki,3,1,2,0
salsa worcestershire,47,26,21,0
salsiccia,225,95,103,27
salty fingers koppert cress,1,1,0,0
salumi,1,1,0,0
salvia,484,259,188,37
sambuca,4,1,3,0
sansho,2,2,0,0
santoreggia,4,2,2,0
sapa,5,5,0,0
sarago,3,3,0,0
sarde,32,20,9,3
sardella,1,0,1,0
sardine,19,13,5,1
sassolino,2,2,0,0
sauternes,1,1,0,0
savoiardi,82,51,30,1
sbrinz,3,0,3,0
scalogno,620,370,240,10
scamorza,97,34,63,0
scamorza affumicata,58,25,33,0
scampi,60,32,25,3
scarola,44,25,18,1
schiacciate al forno,9,0,9,0
schienale,2,1,0,1
scialatielli,5,3,2,0
sciroppo,2,2,0,0
sciroppo alla frutta,27,13,13,1
sciroppo d'acero,32,21,11,0
sciroppo d'agave,4,3,1,0
sciroppo di amarene,2,0,2,0
sciroppo di glucosio,12,5,7,0
sciroppo di zucchero,7,4,3,0
scones,1,1,0,0
scorfano,15,8,4,3
scorza di limone,567,0,556,11
scorzonera,5,3,0,2
scremato,1,1,0,0
scrucchiata,1,1,0,0
sedanini rigati,12,1,11,0
sedano,796,436,286,74
sedano rapa,25,13,8,4
segatura di faggio,1,0,1,0
seirass,1,1,0,0
seitan,10,4,6,0
sel de guerande,2,2,0,0
seltz,1,1,0,0
semi,107,82,21,4
semi di finocchio,76,41,25,10
semi di girasole,28,17,11,0
semi di lino,19,9,10,0
semi di papavero,88,39,45,4
semi di sesamo,132,55,76,1
semi di zucca,33,14,19,0
semola,144,45,88,11
semolato,1,1,0,0
semolino,56,38,10,8
senape,236,158,73,5
senape di digione,29,7,22,0
seppie,40,19,17,4
seppioline,17,12,5,0
sesamo,15,15,0,0
sfilati al pomodoro al forno,6,0,6,0
sfoglia,6,5,0,1
sfogliatine,2,2,0,0
sfoglie all'uovo,14,14,0,0
sfoglie alle olive,8,0,8,0
sfoglie croccanti al forno,5,0,5,0
sgombro,20,13,7,0
sherry,13,13,0,0
shiso,2,2,0,0
sidro,6,5,1,0
sigari di cialda,1,1,0,0
skuta,1,0,1,0
skyr,5,4,1,0
smarties,1,0,1,0
soda,5,2,3,0
sogliola,30,21,7,2
soia,12,12,0,0
songino,34,13,21,0
soppressa,4,2,1,1
sorbetto,2,2,0,0
sott'aceti misti,2,2,0,0
sottilette,5,4,1,0
spaghetti,201,100,88,13
spaghetti alla chitarra,12,6,6,0
spaghetti integrali,19,3,16,0
spaghettoni,5,5,0,0
spagna di riso,1,1,0,0
spagna rotondo,1,1,0,0
speck,139,63,71,5
spezie,13,10,2,1
spianatine,1,0,1,0
spiedini,2,2,0,0
spigola,1,1,0,0
spinaci,245,150,83,12
spinacini,38,17,21,0
sponsali,1,0,1,0
spumante,25,16,9,0
squacquerone,5,2,3,0
stelline,1,0,1,0
stinco di maiale,6,2,3,1
stoccafisso,18,5,2,11
stocco,20,1,0,19
storione,7,7,0,0
stracapra,1,0,1,0
stracchino,47,20,27,0
stracciatella,23,8,15,0
strachitunt,1,1,0,0
strangozzi,1,1,0,0
stridoli,1,1,0,0
strozzapreti,7,2,5,0
strutto,134,52,38,44
succhi di frutta tropicali,1,1,0,0
succo d'ananas,41,32,7,2
succo d'arancia,135,57,78,0
succo di lime,83,30,53,0
succo di limone,599,255,343,1
succo di mandarino,9,4,5,0
succo di mela,8,5,3,0
succo di pesca,3,2,1,0
succo di pomodoro,5,5,0,0
succo di pompelmo,5,4,1,0
sugna,4,0,0,4
sugo di carne,5,2,0,3
sugo di pomodoro,5,3,1,1
sugo di seppia,1,1,0,0
susine,10,5,5,0
tabasco,79,39,40,0
taccole,23,8,15,0
tacconi di farro,1,1,0,0
tacos,2,0,2,0
tagliatelle,37,29,6,2
tagliatelle all'uovo,29,12,16,1
taglierini,10,9,0,1
tagliolini,23,17,6,0
tahina,18,6,12,0
taleggio,49,19,30,0
tamari,1,1,0,0
tandoori,10,7,3,0
tapenade,2,2,0,0
tapioca,1,1,0,0
tarallini,9,7,1,1
tarama,1,1,0,0
tarassaco,4,4,0,0
tartara,1,1,0,0
tartelette,1,1,0,0
tartufi di cioccolato,4,0,4,0
tartufo,18,13,4,1
tartufo bianco,13,11,1,1
tartufo nero,44,32,8,4
tempeh,2,1,1,0
tenerone,1,1,0,0
tenerumi,1,1,0,0
tequila,5,3,2,0
teroldego,1,1,0,0
teste di gambero,4,4,0,0
teste di tinca,1,1,0,0
tigelle,1,1,0,0
tilsit,4,0,4,0
timo,874,320,541,13
tinca di lago,1,1,0,0
tinche del trasimeno,1,1,0,0
toblerone,2,2,0,0
tofu,23,12,11,0
toma,20,11,7,2
tomini,11,3,8,0
tonno,101,58,36,7
tonno sott'olio,121,55,65,1
topinambur,20,12,8,0
torchietti all'uovo,2,0,2,0
torrone,25,17,7,1
torta,2,1,1,0
tortellini,7,5,2,0
tortelloni,1,0,1,0
tortiglioni,12,2,10,0
tortillas,20,3,17,0
torzelle,1,1,0,0
toscanelli bianchi,1,1,0,0
totani,16,9,5,2
tournedos,2,2,0,0
tournedos di filetto di manzo,1,1,0,0
tracchiulelle,7,0,0,7
tracine,1,0,0,1
traminer aromatico,1,1,0,0
tremole,1,0,0,1
trenette,4,4,0,0
triglie,31,17,9,5
trigliotte,1,1,0,0
triple sec,1,0,1,0
trippa,21,7,6,8
troccoli,4,1,3,0
trofie,13,5,8,0
trombette d'aglio,1,1,0,0
trota,13,8,3,2
trota affumicata,5,5,0,0
trota salmonata,15,10,5,0
tubetti,5,4,1,0
tumma,1,1,0,0
tuorli,1385,755,593,37
tè,9,8,1,0
tè matcha,15,8,7,0
tête de moine,1,0,1,0
uccellini,1,1,0,0
umbricelli,1,1,0,0
uova,3872,2020,1605,247
uova di pesce,23,14,9,0
uova di quaglia,23,21,2,0
uova sode,50,42,7,1
uva,29,20,9,0
uva bianca,21,14,7,0
uva nera,13,5,8,0
uva passa,87,32,35,20
uvetta,220,144,61,15
vacherin mont d'or,1,0,1,0
valpolicella,2,2,0,0
valtellina casera,8,0,8,0
vanillina,53,40,8,5
velo,1,1,0,0
vene cress,1,0,1,0
vent,8,8,0,0
ventresca di tonno,6,6,0,0
verde,3,3,0,0
verdure,9,9,0,0
vermicelli,11,5,5,1
vermouth,14,12,2,0
vernaccia,2,1,1,0
verza,78,32,36,10
verzini,2,0,2,0
vin santo,12,9,2,1
vino,43,23,10,10
vino bianco,1177,616,434,127
vino cotto,7,4,1,2
vino rosato,9,4,5,0
vino rosso,219,86,105,28
violette candite,4,4,0,0
visciole,3,1,2,0
vite,1,1,0,0
vodka,26,14,12,0
volpina,1,1,0,0
vongole,83,40,38,5
vov,2,1,1,0
wafer,6,1,5,0
wasabi,30,19,11,0
water roux,1,1,0,0
whisky,22,19,3,0
wurstel,25,15,10,0
yogurt,129,96,33,0
yogurt bianco,121,72,49,0
yogurt greco,196,70,126,0
yuzu,1,1,0,0
zabaione,3,3,0,0
zafferanella,1,1,0,0
zafferano,177,97,72,8
zampone,2,1,0,1
zenzero,285,135,148,2
zibibbo,3,3,0,0
ziti,11,6,5,0
zucca,226,113,98,15
zucca gialla,20,16,2,2
zucca mantovana,23,8,15,0
zuccata,1,1,0,0
zuccheri glitterati,6,2,4,0
zucchero,4949,2722,2046,181
zucchero a velo,7,7,0,0
zucchero di canna,547,270,277,0
zucchero muscovado,33,17,16,0
zucchero vanigliato,26,24,0,2
zucchine,654,323,303,28
